lemma	pos	semantic_tags
&	CCONJ	Z5
&amp;	CCONJ	Z5
&pund;	NOUN	I1
'	PART	Z5
'72ish	NUM	T1.3
'80ish	NUM	T1.3
'kamp	ADP	Z5
'Slot	PROPN	Z2
'årsag	SCONJ	Z5/A2.2
'cos	SCONJ	Z5
'Rute	ADV	Z4
'd	AUX	A7+
'e	PRON	Z8m
dem	PRON	Z8
'er	DET	Z8
'll	AUX	T1.1.3
puha	INTJ	Z4
'm	VERB	A3+ Z5
'n'	CCONJ	Z5
'r'	VERB	A3+ Z5
're	VERB	A3+ Z5
's	PART	Z5
's	VERB	A3+ Z5
't	PRON	Z8
'til	SCONJ	Z5
'til	ADP	Z5
'un	NUM	N1
har	VERB	A9+ A2.2 Z5
*	X	Z5
*%	NUM	N5
*'C	NOUN	O4.6
*-hektar	NOUN	N3.6
*-seng	ADJ	N3.2/H4
*-medarbejder	ADJ	N3.2 N5
*-fod	ADJ	N3.7
*-fuld	ADJ	N3.4
*-time	ADJ	T1.3
*-tommer	NOUN	N3.7
*-måler	NOUN	N3.7
*-mil	NOUN	N3.3
*-minut	ADJ	T1.3
*-måned	ADJ	T1.3
*-måned	NOUN	T1.3
*-ulige	ADJ	N5 T3
*-side	ADJ	Q1.2
*-plus	ADJ	N5 T3
*-punkt	ADJ	N3.1
*-noget	NOUN	N5 T3
*-etagers	ADJ	H1/N3.7
*-stærk	ADJ	N3.2
*-ugentlig	ADJ	N6+
*-år	ADJ	T1.3 T3
*-årige	NOUN	T3
*hektar	NOUN	N3.6
*cms	NOUN	N3.7
*ha	NOUN	N3.6
*KBps	NOUN	N3.8/Y2 N3.8/Q1.3
*kph	NOUN	N3.8
*MB	NOUN	N3.2/Y2
*MW	NOUN	N3/O3
+	ADP	Z5
-baseret	ADJ	M6 A2.2
-opført	ADJ	I2.1
-synth	NOUN	K3
-type	NOUN	A4.1
1-Klik	PROPN	Z3c
1/2	NUM	N1 N5
1/4	NUM	N1
10	NOUN	N1
10.00	X	T3 T1.2
100-ulige	NUM	N1
100e	PROPN	Z3
100.000	NOUN	I1
106	NUM	Z3fn
10K	NOUN	I1
11+	X	P1
110.000	NOUN	I1
12+	X	P1
12-dimensionel	ADJ	O4.1 A4.2+
14-årige	NOUN	T3
150-årig	ADJ	T3
16-årig	ADJ	T3
160-noget	PRON	N1 N5 T3
16XXI	X	Z3fn
17-årig	NOUN	T3
17-årige	NOUN	T3
18-årig	ADJ	T3
18-årig	NOUN	T3
18-årige	NOUN	T3
19	ADJ	N4
13.00	ADV	T1.1.2
2-bit	ADJ	N5
2-liter	NOUN	N3.4
2/3	NUM	N1
20-ulige	ADJ	N1 N5 T3
